_ws.col.No.,_ws.col.Time,ip.src,ip.dst,tcp.seq,tcp.ack,tcp.len,tcp.port
"278","0.095286000","38.107.216.37","69.148.243.171","1039169","1","26064","44465"
"279","0.096526000","69.148.243.171","38.107.216.37","1","1014553","0","49048"
"280","0.096527000","69.148.243.171","38.107.216.37","1","1021793","0","49048"
"281","0.096548000","38.107.216.37","69.148.243.171","1065233","1","21720","44465"
"282","0.097539000","69.148.243.171","38.107.216.37","1","1029033","0","49048"
"283","0.097539000","69.148.243.171","38.107.216.37","1","1039169","0","49048"
"284","0.097564000","38.107.216.37","69.148.243.171","1086953","1","27512","44465"
"285","0.098530000","69.148.243.171","38.107.216.37","1","1046409","0","49048"
"286","0.098530000","69.148.243.171","38.107.216.37","1","1056545","0","49048"
"287","0.098745000","69.148.243.171","38.107.216.37","1","1065233","0","49048"
"288","0.098752000","38.107.216.37","69.148.243.171","1114465","1","28960","44465"
"289","0.099497000","69.148.243.171","38.107.216.37","1","1073921","0","49048"
"290","0.099497000","69.148.243.171","38.107.216.37","1","1086953","0","49048"
"291","0.099507000","38.107.216.37","69.148.243.171","1143425","1","8688","44465"
"292","0.100739000","69.148.243.171","38.107.216.37","1","1095641","0","49048"
"293","0.100739000","69.148.243.171","38.107.216.37","1","1108673","0","49048"
"294","0.100749000","38.107.216.37","69.148.243.171","1152113","1","26064","44465"
"295","0.100759000","69.148.243.171","38.107.216.37","1","1114465","0","49048"
"296","0.102010000","69.148.243.171","38.107.216.37","1","1124601","0","49048"
"297","0.102011000","69.148.243.171","38.107.216.37","1","1141977","0","49048"
"298","0.102031000","38.107.216.37","69.148.243.171","1178177","1","30408","44465"
"299","0.102070000","38.107.216.37","69.148.243.171","1208585","1","8688","44465"
"300","0.102497000","69.148.243.171","38.107.216.37","1","1144873","0","49048"
"301","0.102739000","69.148.243.171","38.107.216.37","1","1152113","0","49048"
"302","0.103985000","69.148.243.171","38.107.216.37","1","1160801","0","49048"
"303","0.103985000","69.148.243.171","38.107.216.37","1","1173833","0","49048"
"304","0.103995000","38.107.216.37","69.148.243.171","1217273","1","28960","44465"
"305","0.104006000","69.148.243.171","38.107.216.37","1","1178177","0","49048"
"306","0.105260000","69.148.243.171","38.107.216.37","1","1186865","0","49048"
"307","0.105260000","69.148.243.171","38.107.216.37","1","1199897","0","49048"
"308","0.105271000","38.107.216.37","69.148.243.171","1246233","1","30408","44465"
"309","0.105303000","38.107.216.37","69.148.243.171","1276641","1","5792","44465"
"310","0.105484000","69.148.243.171","38.107.216.37","1","1208585","0","49048"
"311","0.105490000","69.148.243.171","38.107.216.37","1","1217273","0","49048"
"312","0.105493000","38.107.216.37","69.148.243.171","1282433","1","23168","44465"
"313","0.107255000","69.148.243.171","38.107.216.37","1","1225961","0","49048"
"314","0.107255000","69.148.243.171","38.107.216.37","1","1240441","0","49048"
"315","0.107255000","69.148.243.171","38.107.216.37","1","1246233","0","49048"
"316","0.107267000","38.107.216.37","69.148.243.171","1305601","1","30408","44465"
"317","0.108517000","69.148.243.171","38.107.216.37","1","1252025","0","49048"
"318","0.108517000","69.148.243.171","38.107.216.37","1","1265057","0","49048"
"319","0.108541000","38.107.216.37","69.148.243.171","1336009","1","11584","44465"
